movie,decade,rating,country,genre
Kate,2020,2,USA,"Action, Adventure, Crime"
"Tender Bar, The",2020,1,USA,"Biography, Drama"
Licorice Pizza,2020,3,USA,"Comedy, Drama, Romance"
Nightmare Alley,2020,1,USA,"Crime, Drama, Thriller"
13 Minutes,2020,3,USA,"Action, Drama, Thriller"
tick...tick..BOOM!,2020,3,USA,"Biography, Comedy, Drama"
Being The Ricardos,2020,3,USA,"Biography, Drama"
"Power of the Dog, The",2020,0,USA,"Drama, Western"
Mass,2020,3,USA,Drama
"King&#39;s Man, The",2020,1,USA,"Action, Adventure, Thriller"
the fallout,2020,3,USA,Drama
Dear Evan Hansen,2020,1,USA,"Drama, Musical"
Sing 2,2020,3,USA,"Animation, Adventure, Comedy"
After We Fell,2020,1,USA,"Drama, Romance"
Ron&#39;s Gone Wrong,2020,3,USA,"Animation, Adventure, Comedy"
Godzilla Vs Kong,2020,3,USA,"Action, Sci-Fi, Thriller"
Spencer,2020,3,USA,"Biography, Drama"
Dark Web: Cicada 3301,2020,3,USA,"Action, Comedy, Thriller"
Seal Team,2020,3,USA,"Animation, Action, Comedy"
"Card Counter, The",2020,1,USA,"Crime, Drama, Thriller"
Ghostbusters: Afterlife,2020,3,USA,"Adventure, Comedy, Fantasy"
"Batman: The Long Halloween, Part One",2020,3,USA,"Animation, Action, Crime"
"Batman: The Long Halloween, Part Two",2020,1,USA,"Animation, Action, Crime"
Injustice,2020,1,USA,"Animation, Action, Adventure"
Back to the Outback,2020,3,USA,"Animation, Adventure, Comedy"
Queen Bees,2020,3,USA,"Comedy, Drama, Romance"
Jolt,2020,3,USA,"Action, Comedy, Crime"
Army of Thieves,2020,3,USA,"Action, Comedy, Crime"
King Richard,2020,3,USA,"Biography, Drama, Sport"
House of Gucci,2020,2,USA,"Biography, Crime, Drama"
"Souvenir: Part II, The",2020,3,USA,"Drama, Romance"
"Hating Game, The",2020,3,USA,"Comedy, Romance"
Yes Day,2020,3,USA,"Comedy, Family"
My Little Pony: A New Generation,2020,3,USA,"Animation, Adventure, Comedy"
On the Count of Three,2020,1,USA,"Comedy, Crime, Drama"
Cyrano,2020,2,USA,"Drama, Musical, Romance"
